acc_time,acc_seconds_elapsed,acc_z,acc_y,acc_x,gyro_time,gyro_seconds_elapsed,gyro_z,gyro_y,gyro_x,activity,session
1761391670282892500,5.029892578125,-41.36461740634441,15.659735392457248,2.652017899084091,1761391670282892500,5.029892578125,5.296941757202148,-0.7183993458747864,1.5295214653015137,Jumping,Jumping_11
1761391670292958500,5.03995849609375,-33.40498175895214,0.9165427441187204,-14.462016138219832,1761391670292958500,5.03995849609375,1.4307997226715088,0.7992996573448181,0.7378243803977966,Jumping,Jumping_11
1761391670303025400,5.050025390625,-24.59001523038149,-20.286388646411893,-48.27315643935203,1761391670303025400,5.050025390625,-3.642336130142212,0.2974593043327331,1.322468400001526,Jumping,Jumping_11
1761391670313091600,5.060091552734375,-22.07199546737671,-9.8745363722682,-43.23329647827149,1761391670313091600,5.060091552734375,-3.769821166992187,1.291217803955078,1.5416007041931152,Jumping,Jumping_11
1761391670323157200,5.0701572265625,-21.274340530097483,5.29016275563836,-4.334518273578584,1761391670323157200,5.0701572265625,-2.751878499984741,2.588840961456299,1.095412015914917,Jumping,Jumping_11
1761391670333223400,5.080223388671875,-15.135252084147927,9.59644716064036,9.178020673039557,1761391670333223400,5.080223388671875,-1.8699220418930056,2.4911909103393555,1.0289230346679688,Jumping,Jumping_11
1761391670343289300,5.090289306640625,-12.61995268601775,10.430657512378692,10.04792426944971,1761391670343289300,5.090289306640625,-0.9829956889152528,1.941436529159546,1.4111946821212769,Jumping,Jumping_11
1761391670353355500,5.10035546875,-9.958527491641044,6.737587423062324,10.769391454583406,1761391670353355500,5.10035546875,-0.4246666133403778,0.9204562306404114,1.7145947217941284,Jumping,Jumping_11
1761391670363421400,5.11042138671875,-5.410734423911571,4.328353613469004,10.083569583326575,1761391670363421400,5.11042138671875,0.0305257495492696,0.1135995388031005,1.8234295845031736,Jumping,Jumping_11
1761391670373488400,5.12048828125,-1.4941940173834565,2.922470916745066,8.63309488068223,1761391670373488400,5.12048828125,0.3664571344852447,-0.2546051144599914,1.7661771774291992,Jumping,Jumping_11
1761391670383554600,5.130554443359375,1.4438006317079066,2.13441046789363,6.550903990978002,1761391670383554600,5.130554443359375,0.5588992238044739,-0.2363493293523788,1.6270170211791992,Jumping,Jumping_11
1761391670393620500,5.140620361328125,3.920404096218943,1.3482020766496658,4.1432279322206975,1761391670393620500,5.140620361328125,0.5850299000740051,0.0064513310790061,1.468795895576477,Jumping,Jumping_11
1761391670403686400,5.150686279296875,5.970571954196691,0.4181518353778868,1.705662492764741,1761391670403686400,5.150686279296875,0.4485217034816742,0.3151344656944275,1.3732631206512451,Jumping,Jumping_11
1761391670413752300,5.16075244140625,7.514301279121637,-0.2938414189677685,-0.5114500776045025,1761391670413752300,5.16075244140625,0.2404662519693374,0.571449875831604,1.4083367586135864,Jumping,Jumping_11
1761391670423818200,5.170818359375,8.64773481593132,-0.4330759943958371,-2.18798759817183,1761391670423818200,5.170818359375,0.0170583184808492,0.8717238306999207,1.4827593564987185,Jumping,Jumping_11
